"date";"periodicity";"title";"m1";"m2";"value";"dim"
"2023-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.04;"% годовых"
"2023-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2024-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2024-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2024-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2024-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
