Date/Time,OPCServer,Source,Message,Category,Severity,ConditionName,TagName
09 Sep 2024 20:42:13.105,PMIS0007CAMS,2501FI17501,2501FI17501      CTRL DEBIT  WELL -17     PV  = 4160.0 Sm3/h    LO,Process Alarm,483,LO,2501FI17501
09 Sep 2024 20:42:13.069,LER816_SCS_SOE,879XI06663,INDICATOR FACP TRUE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:12.754,LER014_SCS_SOE,079XI51734,NOT READY   FES FALSE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:11.906,LER-030_SCS_S2,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:11.906,LER-030_SCS_SOE,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:11.869,LER816_SCS_SOE,879XI06663,INDICATOR FACP FALSE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:11.554,LER014_SCS_SOE,079XI51734,NOT READY   FES TRUE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:11.355,PMIS0007CAMS,0745XL20002,0745XL20002      BATTERY      STATUS      ALM,Process Alarm,469,ALM,0745XL20002
09 Sep 2024 20:42:10.705,LER-030_SCS_S2,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:10.705,LER-030_SCS_SOE,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:10.670,LER816_SCS_SOE,879XI06663,INDICATOR FACP TRUE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:10.355,LER014_SCS_SOE,079XI51734,NOT READY   FES FALSE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:10.105,PMIS0007CAMS,2501FI17501,2501FI17501      CTRL DEBIT  WELL -17     PV  = 5101.2 Sm3/h    LO   Recover,Process Alarm,210,LO,2501FI17501
09 Sep 2024 20:42:10.105,PMIS0007CAMS,2501FI17501,2501FI17501      CTRL DEBIT  WELL -17     NR,Process alarm of Simple event,160,,2501FI17501
09 Sep 2024 20:42:10.030,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:10.030,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:09.505,LER-030_SCS_S2,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:09.505,LER-030_SCS_SOE,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:09.469,LER816_SCS_SOE,879XI06663,INDICATOR FACP FALSE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:09.390,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM FALSE,SCSSOE Event,500,,0779GDOPR01008
09 Sep 2024 20:42:09.154,LER014_SCS_SOE,079XI51734,NOT READY   FES TRUE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:09.090,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM TRUE,SCSSOE Event,500,,0779GDOPR01008
"09 Sep 2024 20:42:09.055,LER400_STN0954,414PZI02911,""414PZI02911  P BG. 1 SGU PZIT-02911   PV  =    9,9 kPa  LO"",Process Alarm,283,LO,414PZI02911"
09 Sep 2024 20:42:08.530,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:08.530,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:08.305,LER-030_SCS_S2,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:08.305,LER-030_SCS_SOE,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:08.269,LER816_SCS_SOE,879XI06663,INDICATOR FACP TRUE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:08.255,PMIS0001CAMS,214EH201C,214EH201C    214-EH-201C K-200B SGHTR AUT,Mode/Status Change,468,,214EH201C
09 Sep 2024 20:42:08.130,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:08.130,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:08.005,PMIS0005CAMS,095PDI01545,095PDI01545      000-CCB-020 ENGINEER. RM PV  =  39.89 Pa   LO,Process Alarm,883,LO,095PDI01545
09 Sep 2024 20:42:07.954,LER014_SCS_SOE,079XI51734,NOT READY   FES FALSE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:07.230,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
